# Hop_Value_(h)	PDF
6.34608788	0.00009496
6.35871504	0.00009630
6.37134219	0.00009918
6.38396934	0.00009964
6.39659650	0.00009681
6.40922365	0.00009193
6.42185080	0.00008533
6.43447795	0.00007752
6.44710511	0.00007261
6.45973226	0.00007604
6.47235941	0.00008790
6.48498657	0.00010130
6.49761372	0.00010852
6.51024087	0.00010760
6.52286803	0.00010271
6.53549518	0.00009931
6.54812233	0.00009891
6.56074949	0.00009841
6.57337664	0.00009441
6.58600379	0.00008716
6.59863095	0.00007947
6.61125810	0.00007307
6.62388525	0.00006780
6.63651241	0.00006386
6.64913956	0.00006362
6.66176671	0.00006994
6.67439386	0.00008253
6.68702102	0.00009663
6.69964817	0.00010596
6.71227532	0.00010729
6.72490248	0.00010237
6.73752963	0.00009617
6.75015678	0.00009281
6.76278394	0.00009288
6.77541109	0.00009401
6.78803824	0.00009347
6.80066540	0.00009003
6.81329255	0.00008400
6.82591970	0.00007628
6.83854686	0.00006779
6.85117401	0.00005990
6.86380116	0.00005499
6.87642832	0.00005539
6.88905547	0.00006068
6.90168262	0.00006653
6.91430977	0.00006798
6.92693693	0.00006453
6.93956408	0.00006114
6.95219123	0.00006316
6.96481839	0.00007046
6.97744554	0.00007727
6.99007269	0.00007793
7.00269985	0.00007243
7.01532700	0.00006575
7.02795415	0.00006323
7.04058131	0.00006715
7.05320846	0.00007575
7.06583561	0.00008384
7.07846277	0.00008597
7.09108992	0.00008087
7.10371707	0.00007267
7.11634423	0.00006729
7.12897138	0.00006714
7.14159853	0.00006931
7.15422568	0.00006885
7.16685284	0.00006315
7.17947999	0.00005332
7.19210714	0.00004271
7.20473430	0.00003508
7.21736145	0.00003258
7.22998860	0.00003439
7.24261576	0.00003752
7.25524291	0.00003944
7.26787006	0.00003984
7.28049722	0.00004001
7.29312437	0.00004098
7.30575152	0.00004252
7.31837868	0.00004373
7.33100583	0.00004417
7.34363298	0.00004418
7.35626014	0.00004402
7.36888729	0.00004314
7.38151444	0.00004105
7.39414159	0.00003858
7.40676875	0.00003765
7.41939590	0.00003934
7.43202305	0.00004282
7.44465021	0.00004640
7.45727736	0.00004911
7.46990451	0.00005071
7.48253167	0.00005098
7.49515882	0.00004958
7.50778597	0.00004663
7.52041313	0.00004320
7.53304028	0.00004100
7.54566743	0.00004109
7.55829459	0.00004262
7.57092174	0.00004345
7.58354889	0.00004264
7.59617605	0.00004201
7.60880320	0.00004409
7.62143035	0.00004893
7.63405750	0.00005397
7.64668466	0.00005704
7.65931181	0.00005837
7.67193896	0.00005929
7.68456612	0.00005999
7.69719327	0.00005946
7.70982042	0.00005731
7.72244758	0.00005444
7.73507473	0.00005213
7.74770188	0.00005125
7.76032904	0.00005160
7.77295619	0.00005118
7.78558334	0.00004739
7.79821050	0.00004010
7.81083765	0.00003259
7.82346480	0.00002842
7.83609195	0.00002791
7.84871911	0.00002842
7.86134626	0.00002738
7.87397341	0.00002447
7.88660057	0.00002098
7.89922772	0.00001814
7.91185487	0.00001653
7.92448203	0.00001624
7.93710918	0.00001677
7.94973633	0.00001737
7.96236349	0.00001795
7.97499064	0.00001919
7.98761779	0.00002147
8.00024495	0.00002424
8.01287210	0.00002685
8.02549925	0.00002919
8.03812641	0.00003105
8.05075356	0.00003141
8.06338071	0.00002941
8.07600786	0.00002583
8.08863502	0.00002268
8.10126217	0.00002134
8.11388932	0.00002188
8.12651648	0.00002372
8.13914363	0.00002625
8.15177078	0.00002881
8.16439794	0.00003070
8.17702509	0.00003151
8.18965224	0.00003106
8.20227940	0.00002931
8.21490655	0.00002664
8.22753370	0.00002432
8.24016086	0.00002406
8.25278801	0.00002655
8.26541516	0.00002986
8.27804232	0.00003031
8.29066947	0.00002589
8.30329662	0.00001861
8.31592377	0.00001254
8.32855093	0.00001013
8.34117808	0.00001072
8.35380523	0.00001203
8.36643239	0.00001242
8.37905954	0.00001195
8.39168669	0.00001157
8.40431385	0.00001161
8.41694100	0.00001151
8.42956815	0.00001066
8.44219531	0.00000930
8.45482246	0.00000829
8.46744961	0.00000816
8.48007677	0.00000861
8.49270392	0.00000899
8.50533107	0.00000882
8.51795823	0.00000788
8.53058538	0.00000629
8.54321253	0.00000473
8.55583968	0.00000425
8.56846684	0.00000561
8.58109399	0.00000885
8.59372114	0.00001336
8.60634830	0.00001783
8.61897545	0.00002048
8.63160260	0.00001999
8.64422976	0.00001680
8.65685691	0.00001295
8.66948406	0.00001017
