# Δt(fs)   hop_mean   hop_std
      6720          0.86029918          0.03286164
      6730          0.86029918          0.03286164
      6740          0.86029918          0.03286164
      6750          0.86029918          0.03286164
      6760          0.86029918          0.03286164
      6770          0.86029918          0.03286164
      6780          0.86029918          0.03286164
      6790          0.86029918          0.03286164
      6800          0.86029918          0.03286164
      6810          0.86029918          0.03286164
      6820          0.86029918          0.03286164
      6830          0.86029918          0.03286164
      6840          0.86029918          0.03286164
      6850          0.86029918          0.03286164
      6860          0.86029918          0.03286164
      6870          0.86029918          0.03286164
      6880          0.86029918          0.03286164
      6890          0.86029918          0.03286164
      6900          0.86029918          0.03286164
      6910          0.86029918          0.03286164
      6920          0.86029918          0.03286164
      6930          0.86029918          0.03286164
      6940          0.86029918          0.03286164
      6950          0.86029918          0.03286164
      6960          0.86029918          0.03286164
      6970          0.86029918          0.03286164
      6980          0.86029918          0.03286164
      6990          0.86029918          0.03286164
      7000          0.86029918          0.03286164
      7010          0.86029918          0.03286164
      7020          0.86029918          0.03286164
      7030          0.86029918          0.03286164
      7040          0.86029918          0.03286164
      7050          0.86029918          0.03286164
      7060          0.86029918          0.03286164
      7070          0.86029918          0.03286164
      7080          0.86029918          0.03286164
      7090          0.86029918          0.03286164
      7100          0.86029918          0.03286164
      7110          0.86029918          0.03286164
      7120          0.86029918          0.03286164
      7130          0.86029918          0.03286164
      7140          0.86029918          0.03286164
      7150          0.86029918          0.03286164
      7160          0.86029918          0.03286164
      7170          0.86029918          0.03286164
      7180          0.86029918          0.03286164
      7190          0.86029918          0.03286164
      7200          0.86029918          0.03286164
      7210          0.86029918          0.03286164
      7220          0.86029918          0.03286164
      7230          0.86029918          0.03286164
      7240          0.86029918          0.03286164
      7250          0.86029918          0.03286164
      7260          0.86029918          0.03286164
      7270          0.86029918          0.03286164
      7280          0.86029918          0.03286164
      7290          0.86029918          0.03286164
      7300          0.86029918          0.03286164
      7310          0.86029918          0.03286164
      7320          0.86029918          0.03286164
      7330          0.86029918          0.03286164
      7340          0.86029918          0.03286164
      7350          0.86029918          0.03286164
      7360          0.86029918          0.03286164
      7370          0.86029918          0.03286164
      7380          0.86029918          0.03286164
      7390          0.86029918          0.03286164
      7400          0.86029918          0.03286164
      7410          0.86029918          0.03286164
      7420          0.86029918          0.03286164
      7430          0.86029918          0.03286164
      7440          0.86029918          0.03286164
      7450          0.86029918          0.03286164
      7460          0.86029918          0.03286164
      7470          0.86029918          0.03286164
      7480          0.86029918          0.03286164
      7490          0.86029918          0.03286164
      7500          0.86029918          0.03286164
